parcel_id,vacancy_class,source_signal
00-0000-1367,vacant,improvement_value_zero_or_null
00-0000-1375,developed,improvement_value_ge_20pct_land_value
00-0000-1383,vacant,improvement_value_zero_or_null
00-0000-1391,vacant,improvement_value_zero_or_null
00-0000-1409,vacant,improvement_value_zero_or_null
00-0000-1417,vacant,improvement_value_zero_or_null
00-0000-1425,developed,improvement_value_ge_20pct_land_value
00-0000-1433,developed,improvement_value_ge_20pct_land_value
00-0000-1482,developed,improvement_value_ge_20pct_land_value
00-0000-1490,vacant,improvement_value_zero_or_null
00-0000-1508,vacant,improvement_value_zero_or_null
00-0000-1516,vacant,improvement_value_zero_or_null
00-0000-1524,vacant,improvement_value_zero_or_null
00-0000-1532,developed,improvement_value_ge_20pct_land_value
00-0000-1533,developed,missing_values_default_developed
00-0000-1540,developed,improvement_value_ge_20pct_land_value
00-0000-1557,vacant,improvement_value_zero_or_null
00-0000-1565,developed,improvement_value_ge_20pct_land_value
00-0000-1573,vacant,improvement_value_zero_or_null
00-0000-1581,developed,developed_land_use_no_values
00-0000-1599,vacant,improvement_value_zero_or_null
00-0000-1607,vacant,improvement_value_zero_or_null
00-0000-1615,vacant,improvement_value_zero_or_null
00-0000-1623,vacant,improvement_value_zero_or_null
00-0000-1631,vacant,improvement_value_zero_or_null
00-0000-1649,developed,improvement_value_ge_20pct_land_value
00-0000-1656,vacant,improvement_value_zero_or_null
00-0000-1664,developed,improvement_value_ge_20pct_land_value
00-0000-1672,vacant,improvement_value_zero_or_null
00-0000-1680,vacant,improvement_value_zero_or_null
00-0000-1698,vacant,improvement_value_zero_or_null
00-0000-1706,vacant,improvement_value_zero_or_null
00-0000-1714,vacant,improvement_value_zero_or_null
00-0000-1722,vacant,improvement_value_zero_or_null
00-0000-1748,developed,improvement_value_ge_20pct_land_value
00-0000-1755,developed,improvement_value_ge_20pct_land_value
00-0000-1763,developed,improvement_value_ge_20pct_land_value
00-0000-1771,vacant,improvement_value_zero_or_null
00-0000-1789,vacant,improvement_value_zero_or_null
00-0000-1797,vacant,improvement_value_zero_or_null
00-0000-1805,developed,improvement_value_ge_20pct_land_value
