parcel_id,centroid_lng,centroid_lat,sampled_zone,extraction_method,color_match_confidence,lab_distance,parcel_city,acreage
26274540010000,-112.051988,40.522563,Agricultural Residential (1.8-3.0 du/acre),centroid,0.2108,3.74,Herriman,0.12
26274540020000,-112.051792,40.522568,Agricultural Residential (1.8-3.0 du/acre),centroid,0.208,3.81,Herriman,0.16
26274540030000,-112.051586,40.522574,Agricultural Residential (1.8-3.0 du/acre),centroid,0.2085,3.8,Herriman,0.15
26274540040000,-112.051404,40.522578,Agricultural Residential (1.8-3.0 du/acre),centroid,0.2039,3.9,Herriman,0.13
26274540050000,-112.05121,40.522577,Agricultural Residential (1.8-3.0 du/acre),centroid,0.1999,4.0,Herriman,0.17
26274540060000,-112.051007,40.522571,Agricultural Residential (1.8-3.0 du/acre),centroid,0.2024,3.94,Herriman,0.14
26274540070000,-112.050824,40.522562,Agricultural Residential (1.8-3.0 du/acre),centroid,0.1643,5.09,Herriman,0.12
26274540080000,-112.05063,40.522555,Agricultural Residential (1.8-3.0 du/acre),centroid,0.0854,10.71,Herriman,0.15
26274540090000,-112.050434,40.522552,Hillside/Rural Residential (0.5-1.7 du/acre),centroid,0.0941,9.63,Herriman,0.12
26274540100000,-112.050252,40.522553,Hillside/Rural Residential (0.5-1.7 du/acre),centroid,0.1037,8.64,Herriman,0.13
26274540110000,-112.050045,40.52256,Hillside/Rural Residential (0.5-1.7 du/acre),centroid,0.0989,9.12,Herriman,0.16
26274540120000,-112.049849,40.522571,Agricultural Residential (1.8-3.0 du/acre),centroid,0.0722,12.85,Herriman,0.13
26274540130000,-112.049662,40.522582,Agricultural Residential (1.8-3.0 du/acre),centroid,0.1169,7.56,Herriman,0.16
26274550010000,-112.052733,40.525315,Resort/Recreational,centroid,0.0314,30.8,Herriman,0.14
26274550020000,-112.052734,40.525154,Resort/Recreational,centroid,0.0433,22.08,Herriman,0.15
26274550030000,-112.052732,40.524996,Resort/Recreational,centroid,0.0545,17.34,Herriman,0.13
26274550040000,-112.052725,40.524857,Resort/Recreational,centroid,0.066,14.14,Herriman,0.12
26274550060000,-112.053043,40.523901,Open Space,centroid,0.1162,7.61,Herriman,1.62
26274550070000,-112.052713,40.524718,Open Space,centroid,0.0609,15.41,Herriman,0.14
26274550080000,-112.052702,40.524579,Open Space,centroid,0.0634,14.76,Herriman,0.14
26274550090000,-112.052694,40.52444,Open Space,centroid,0.0652,14.33,Herriman,0.16
26274550100000,-112.052691,40.524301,Open Space,centroid,0.0696,13.36,Herriman,0.14
26274550110000,-112.052696,40.524152,Open Space,centroid,0.0721,12.86,Herriman,0.18
26274550120000,-112.052708,40.523995,Open Space,centroid,0.077,11.99,Herriman,0.15
26274550130000,-112.052722,40.523856,Open Space,centroid,0.0793,11.61,Herriman,0.12
26274550140000,-112.052733,40.523706,Open Space,centroid,0.0819,11.22,Herriman,0.15
26274550150000,-112.052737,40.523549,Open Space,centroid,0.0877,10.41,Herriman,0.13
26274550160000,-112.052735,40.523409,Open Space,centroid,0.0889,10.25,Herriman,0.12
26274550170000,-112.052726,40.523258,Open Space,centroid,0.0891,10.22,Herriman,0.16
26274550180000,-112.052712,40.523102,Open Space,centroid,0.0878,10.38,Herriman,0.15
26274550190000,-112.052698,40.522963,Open Space,centroid,0.0813,11.29,Herriman,0.14
26274550200000,-112.052728,40.522814,Open Space,centroid,0.0767,12.04,Herriman,0.17
26274550210000,-112.052722,40.522598,Hillside/Rural Residential (0.5-1.7 du/acre),centroid,0.0637,14.7,Herriman,0.27
26274550220000,-112.052443,40.52252,Agricultural Residential (1.8-3.0 du/acre),centroid,0.0742,12.47,Herriman,0.2
26274550230000,-112.052166,40.522546,Agricultural Residential (1.8-3.0 du/acre),centroid,0.214,3.67,Herriman,0.12
26274560010000,-112.052239,40.525255,Resort/Recreational,centroid,0.0344,28.09,Herriman,0.15
26334540420000,-112.069373,40.509089,Agricultural Residential (1.8-3.0 du/acre),centroid,0.11,8.09,Herriman,1.12
26274560020000,-112.05204,40.525252,Resort/Recreational,centroid,0.0345,27.96,Herriman,0.11
26334540430000,-112.068782,40.508945,Agricultural Residential (1.8-3.0 du/acre),centroid,0.1131,7.84,Herriman,
26274560030000,-112.051844,40.525247,Resort/Recreational,centroid,0.0344,28.08,Herriman,0.15
26334540440000,-112.0687,40.509271,Agricultural Residential (1.8-3.0 du/acre),centroid,0.1103,8.06,Herriman,
26274560040000,-112.05165,40.525239,Resort/Recreational,centroid,0.0343,28.15,Herriman,0.13
26334550010000,-112.069525,40.510976,Hillside/Rural Residential (0.5-1.7 du/acre),centroid,0.1298,6.7,Herriman,0.24
26274560050000,-112.051467,40.525229,Resort/Recreational,centroid,0.0341,28.33,Herriman,0.15
26334550020000,-112.069158,40.510939,Hillside/Rural Residential (0.5-1.7 du/acre),centroid,0.1295,6.72,Herriman,0.23
26274560060000,-112.051261,40.525215,Resort/Recreational,centroid,0.034,28.45,Herriman,0.18
26334550030000,-112.068833,40.5109,Hillside/Rural Residential (0.5-1.7 du/acre),centroid,0.1162,7.61,Herriman,0.23
26274560070000,-112.051065,40.525198,Resort/Recreational,centroid,0.0337,28.67,Herriman,0.16
26334550040000,-112.068526,40.510864,Hillside/Rural Residential (0.5-1.7 du/acre),centroid,0.0825,11.12,Herriman,0.24
26274560080000,-112.050884,40.525185,Resort/Recreational,centroid,0.0604,15.57,Herriman,0.19
26334550050000,-112.068222,40.510833,Hillside/Rural Residential (0.5-1.7 du/acre),centroid,0.0475,20.04,Herriman,0.25
26274560090000,-112.050681,40.525183,Resort/Recreational,centroid,0.0591,15.92,Herriman,0.22
26334550060000,-112.067932,40.510764,Hillside/Rural Residential (0.5-1.7 du/acre),centroid,0.0449,21.26,Herriman,0.23
26334550070000,-112.067634,40.51067,Hillside/Rural Residential (0.5-1.7 du/acre),centroid,0.0699,13.3,Herriman,0.23
26274560100000,-112.050474,40.52521,Resort/Recreational,centroid,0.0365,26.37,Herriman,0.17
26334760020000,-112.064756,40.510602,,unknown,0.0246,39.58,Herriman,6.77
26274560110000,-112.050142,40.525145,Hillside/Rural Residential (0.5-1.7 du/acre),centroid,0.0556,16.99,Herriman,0.52
26334760110000,-112.063368,40.511194,,unknown,0.0229,42.7,Herriman,2
26274560120000,-112.050096,40.524799,Hillside/Rural Residential (0.5-1.7 du/acre),centroid,0.0926,9.8,Herriman,0.11
26334760130000,-112.067042,40.511384,Resort/Recreational,centroid,0.064,14.62,Herriman,0.23
26274560130000,-112.0501,40.524651,Hillside/Rural Residential (0.5-1.7 du/acre),centroid,0.0863,10.59,Herriman,0.14
26334760140000,-112.06668,40.511379,Resort/Recreational,centroid,0.0646,14.47,Herriman,0.23
26274560140000,-112.050092,40.524494,Hillside/Rural Residential (0.5-1.7 du/acre),centroid,0.0864,10.58,Herriman,0.12
26334760150000,-112.066051,40.511385,High Density Residential (8-20 du/acre),centroid,0.0378,25.47,Herriman,0.28
26274560150000,-112.05009,40.524355,Hillside/Rural Residential (0.5-1.7 du/acre),centroid,0.0857,10.66,Herriman,0.1
26334760160000,-112.065853,40.511409,High Density Residential (8-20 du/acre),centroid,0.0306,31.67,Herriman,0.21
26274560160000,-112.05009,40.524205,Hillside/Rural Residential (0.5-1.7 du/acre),centroid,0.0851,10.75,Herriman,0.13
26334760170000,-112.067078,40.510954,Agricultural Residential (1.8-3.0 du/acre),centroid,0.108,8.26,Herriman,0.24
26274560170000,-112.050095,40.524048,Hillside/Rural Residential (0.5-1.7 du/acre),centroid,0.0841,10.89,Herriman,0.12
26334760180000,-112.066762,40.510901,Agricultural Residential (1.8-3.0 du/acre),centroid,0.2066,3.84,Herriman,0.31
26274560180000,-112.050103,40.523909,Hillside/Rural Residential (0.5-1.7 du/acre),centroid,0.0832,11.02,Herriman,0.11
26334760190000,-112.066499,40.510814,Agricultural Residential (1.8-3.0 du/acre),centroid,0.218,3.59,Herriman,0.32
26274560190000,-112.050113,40.523769,Hillside/Rural Residential (0.5-1.7 du/acre),centroid,0.082,11.19,Herriman,0.14
26334760200000,-112.06614,40.510946,High Density Residential (8-20 du/acre),centroid,0.0563,16.77,Herriman,0.24
26274570010000,-112.052205,40.524836,Agricultural Residential (1.8-3.0 du/acre),centroid,0.1439,5.95,Herriman,0.16
26334760210000,-112.065766,40.511046,Commercial,centroid,0.0416,23.06,Herriman,0.23
26274570020000,-112.051993,40.524827,Agricultural Residential (1.8-3.0 du/acre),centroid,0.1498,5.68,Herriman,0.11
26334760220000,-112.066083,40.510683,High Density Residential (8-20 du/acre),centroid,0.0536,17.66,Herriman,0.43
26274570030000,-112.051808,40.524815,Agricultural Residential (1.8-3.0 du/acre),centroid,0.1542,5.48,Herriman,0.12
26334760230000,-112.065723,40.510505,Commercial,centroid,0.0315,30.77,Herriman,0.41
26274570040000,-112.051623,40.524797,Agricultural Residential (1.8-3.0 du/acre),centroid,0.1592,5.28,Herriman,0.11
26334760240000,-112.067317,40.510553,Hillside/Rural Residential (0.5-1.7 du/acre),centroid,0.1264,6.91,Herriman,0.23
26274570050000,-112.051426,40.524772,Agricultural Residential (1.8-3.0 du/acre),centroid,0.1644,5.08,Herriman,0.14
26274570060000,-112.051229,40.524741,Agricultural Residential (1.8-3.0 du/acre),centroid,0.1753,4.71,Herriman,0.11
26334760250000,-112.067,40.510421,Hillside/Rural Residential (0.5-1.7 du/acre),centroid,0.1178,7.49,Herriman,0.24
26274570070000,-112.051056,40.524705,Agricultural Residential (1.8-3.0 du/acre),centroid,0.2523,2.96,Herriman,0.12
26334760260000,-112.066571,40.51024,Hillside/Rural Residential (0.5-1.7 du/acre),centroid,0.1286,6.78,Herriman,0.44
26274570080000,-112.050849,40.524681,Agricultural Residential (1.8-3.0 du/acre),centroid,0.2477,3.04,Herriman,0.15
26334760270000,-112.065874,40.510132,Hillside/Rural Residential (0.5-1.7 du/acre),centroid,0.0551,17.13,Herriman,0.56
26274570090000,-112.050604,40.524679,Agricultural Residential (1.8-3.0 du/acre),centroid,0.064,14.62,Herriman,0.16
26342550030000,-112.048525,40.516712,Agricultural Residential (1.8-3.0 du/acre),centroid,0.1051,8.52,Herriman,0.14
26334760280000,-112.063565,40.510513,Commercial,interior_point,0.0295,32.88,Herriman,1.35
26344280090000,-112.044686,40.514765,Hillside/Rural Residential (0.5-1.7 du/acre),centroid,0.0909,10.0,Herriman,0.24
26274570100000,-112.052163,40.524563,Agricultural Residential (1.8-3.0 du/acre),centroid,0.2443,3.09,Herriman,0.16
26334760290000,-112.063961,40.509604,Mixed Use,centroid,0.0507,18.72,Herriman,0.01
26342550040000,-112.048525,40.516547,Agricultural Residential (1.8-3.0 du/acre),centroid,0.1989,4.03,Herriman,0.14
26344280100000,-112.044419,40.51485,Low Density Residential (1.8-2.5 du/acre),centroid,0.0864,10.58,Herriman,0.19
26274570110000,-112.051929,40.524548,Agricultural Residential (1.8-3.0 du/acre),centroid,0.2266,3.41,Herriman,0.14
